,gamma,time,iterations,reward,method
0,0.1,0.02693033218383789,1,4.39658473,policy_iteration
1,0.2,0.023136138916015625,1,4.882665888832,policy_iteration
2,0.3,0.08911395072937012,2,5.491883648945864,policy_iteration
3,0.4,0.10200619697570801,2,6.277534279531349,policy_iteration
4,0.6,0.2518291473388672,3,8.809917159982597,policy_iteration
5,0.9,4.033466815948486,10,23.17234211944304,policy_iteration
6,1.0,771.125091791153,20,4771.855955678191,policy_iteration
0,0.1,0.043018341064453125,5,4.39658473,value_iteration
1,0.2,0.06180977821350098,7,4.882665888832,value_iteration
2,0.3,0.06386804580688477,10,5.491919461389759,value_iteration
3,0.4,0.1278698444366455,13,6.277558935662595,value_iteration
4,0.6,0.15747404098510742,22,8.80996888236259,value_iteration
5,0.9,0.5064740180969238,72,23.170025014584606,value_iteration
6,1.0,0.857414960861206,120,91.85584261033341,value_iteration
0,0.1,2.405967950820923,100000,1.009268592144283,q_learning
1,0.2,2.403653860092163,100000,1.0381342346847624,q_learning
2,0.3,2.390895128250122,100000,1.090857794956031,q_learning
3,0.4,2.4045891761779785,100000,1.1765110272188153,q_learning
4,0.6,2.4234960079193115,100000,1.5243294287445073,q_learning
5,0.9,2.406672239303589,100000,5.025658162650326,q_learning
6,1.0,2.488133192062378,100000,8.668155507889585,q_learning
