,gamma,time,iterations,reward,method
0,0.1,0.14939379692077637,1,4.39658473,policy_iteration
1,0.3,0.003725767135620117,2,5.491883648945864,policy_iteration
2,0.6,0.007905960083007812,3,8.809917159982597,policy_iteration
3,0.9,0.12775397300720215,10,23.17234211944304,policy_iteration
4,1.0,280.4207272529602,20,4771.855955678191,policy_iteration
0,0.1,0.0007979869842529297,5,4.39658473,value_iteration
1,0.3,0.005104780197143555,10,5.491919461389759,value_iteration
2,0.6,0.0019731521606445312,22,8.80996888236259,value_iteration
3,0.9,0.014559268951416016,72,23.170025014584606,value_iteration
4,1.0,1.6980531215667725,120,91.85584261033341,value_iteration
0,0.1,2.412205934524536,100000,1.00917830961464,q_learning
1,0.3,2.473168134689331,100000,1.089932388705453,q_learning
2,0.6,2.456009864807129,100000,1.5250905038164577,q_learning
3,0.9,2.429399013519287,100000,4.945767594034388,q_learning
4,1.0,2.8246610164642334,100000,62.44983584511199,q_learning
